id,code,name,distrito_id
668,12,Cabriola,47
669,13,Cedral ,47
670,14,Cuesta Achiotal ,47
671,15,Llano León,47
672,16,Llano Limón,47
673,17,Quebrada Honda,47
674,18,Rodeo,47
675,19,Santísima Trinidad,47
676,20,Ticufres,47
677,1,GUAYABO centro,48
678,2,Bajo Claras,48
679,3,Bajo Morado,48
680,4,Corrogres,48
681,5,Monte Negro,48
682,1,TABARCIA centro,49
683,2,Bajo Bustamante,49
684,3,Bajo Lima,49
685,4,Bajo Loaiza,49
686,5,Cañas,49
687,6,Corralar,49
688,7,Morado,49
689,8,Piedras Blancas,49
690,9,Salto,49
691,1,PIEDRAS NEGRAS centro,50
692,2,Chile,50
693,3,Danta,50
694,4,Palma,50
695,5,Quebrada Grande,50
696,1,PICAGRES centro,51
697,2,Cordel,51
698,3,Chucás,51
699,4,Jateo,51
700,5,Llano Grande,51
701,6,Monte Frío (Potrerillos),51
702,1,JARIS centro,52
703,2,Pito,52
704,1,QUITIRRISÍ centro,53
705,2,San Juan,53
706,3,San Martín,53
707,4,Quebrada Honda,53
708,1,GUADALUPE centro,54
709,2,Árboles,54
710,3,Colonia del Río,54
711,4,El Alto (parte),54
712,5,Fátima,54
713,6,Independencia,54
714,7,Jardín,54
715,8,Magnolia,54
716,9,Maravilla,54
717,10,Margarita,54
718,11,Minerva,54
719,12,Moreno Cañas,54
720,13,Orquídea,54
721,14,Pilar Jiménez,54
722,15,Rothe,54
723,16,San Gerardo,54
724,17,Santa Cecilia,54
725,18,Santa Eduvigis,54
726,19,Santo Cristo,54
727,20,Unión,54
728,21,Yurusti,54
729,1,SAN FRANCISCO centro,55
730,2,Carlos María Ulloa,55
731,3,Tournón,55
732,1,CALLE BLANCOS centro,56
733,2,Ciprés,56
734,3,Encanto,56
735,4,Esquivel Bonilla,56
736,5,Montelimar,56
737,6,Pinos,56
738,7,San Antonio,56
739,8,San Gabriel,56
740,9,Santo Tomás,56
741,10,Volio,56
742,1,MATA DE PLÁTANO centro,57
743,2,Bruncas,57
744,3,Carmen,57
745,4,Claraval,57
746,5,Cruz,57
747,6,Cuesta Grande (parte),57
748,7,Estéfana (parte),57
749,8,Hortensias,57
750,9,Jaboncillal,57
751,10,Jardines de la Paz,57
752,11,Lourdes,57
753,12,Praderas,57
754,13,Tepeyac,57
755,14,Térraba,57
756,15,Villalta,57
757,16,Villaverde,57
758,17,Vista del Valle,57
759,1,IPÍS centro,58
760,2,Ángeles,58
761,3,El Alto (parte),58
762,4,Floresta,58
763,5,Korobó,58
764,6,La Mora,58
765,7,Morita,58
766,8,Mozotal,58
767,9,Nazareno,58
768,10,Orquídea,58
769,11,Rodrigo Facio,58
770,12,Santa Clara (parte),58
771,13,Setillal,58
772,14,Vista del Monte,58
773,1,RANCHO REDONDO centro,59
774,2,Mirador ,59
775,3,Corralillo,59
776,4,Guayabillos,59
777,5,Isla,59
778,6,San Miguel,59
779,7,Vista de Mar,59
780,1,PURRAL centro,60
781,2,Ana Frank,61
782,3,Castores,60
783,4,Cuadros,60
784,5,Don Carlos,60
785,6,El Alto (parte),60
786,7,Flor de Liz,60
787,8,Kurú,60
788,9,Lomas de Tepeyac,60
789,10,Lupita,60
790,11,Montesol,60
791,12,Nogales,60
792,13,Pueblo,60
793,14,Violetas,60
794,1,SANTA ANA centro,62
795,2,Aguas Lindas,62
796,3,Cabañas,62
797,4,Casa Blanca,62
798,5,Lajas (parte),62
799,6,Obando,62
800,7,Paso Machete (parte),62
801,8,San Rafael,62
802,9,Corrogres,62
803,10,Pilas,62
804,1,SALITRAL centro,63
805,2,Paso Machete (parte),63
806,3,Robalillo,63
807,4,Alto Raicero,63
808,5,Chirracal,63
809,6,Matinilla,63
810,7,Pabellón,63
811,8,Perico,63
812,1,POZOS centro,64
813,2,Alto Palomas,64
814,3,Concepción,64
815,4,Cuevas,64
816,5,Chispa,64
817,6,Gavilanes,64
818,7,Honduras,64
819,8,Lajas (parte),64
820,9,Lindora,64
821,10,Manantial,64
822,11,Real de Pereira (parte),64
823,12,Valle del sol,64
824,1,RÍO ORO,65
825,2,Chimba,65
826,3,Guapinol,65
827,4,Mata Grande,65
828,5,Mina,65
829,6,Paso Machete (parte),65
830,7,Río Uruca,65
831,1,PIEDADES centro,66
832,2,Caraña,66
833,3,Cebadilla,66
834,4,Finquitas,66
835,5,Montaña del Sol,66
836,6,Rincón San Marcos,66
837,7,Triunfo,66
838,1,BRASIL centro,67
839,2,Canjel,67
840,3,Copey,67
841,1,ALAJUELITA centro,68
842,2,Bellavista,68
843,3,Chorotega,68
844,4,Lagunilla,68
845,5,Macha,68
846,6,Madrigal,68
847,1,SAN JOSECITO centro,69
848,2,Aguilar Machado,69
849,3,Cochea,69
850,4,El Alto,69
851,5,Faro del Suroeste,69
852,6,Filtros,69
853,7,Pueblo Escondido,69
854,8,Vistas de Alajuelita,69
855,1,SAN ANTONIO centro,70
856,2,Caracas,70
857,3,Cascabela,70
858,4,Llano,70
859,5,Piedra de fuego,70
860,6,Lámparas,70
861,1,CONCEPCIÓN centro,71
862,2,Almendros,71
863,3,Boca del Monte,71
864,4,Chirivico,71
865,5,Monte Alto,71
866,6,Once de Abril,71
867,7,Progreso,71
868,8,Tejar (parte),71
869,9,Vista de San José,71
870,10,Vista Real,71
871,1,SAN FELIPE centro,72
872,2,Aurora,72
873,3,Corina Rodríguez,72
874,4,Esquipulas Dos,72
875,5,La Guápil,72
876,6,Peralta,72
877,7,Verbena,72
878,8,Palo Campano,72
879,1,SAN ISIDRO centro,73
880,2,Alamos,73
